nombre_municipio,poblacion_2020
Socorro,33628
Suaita,10158
Sucre,7064
Suratá,3987
Tona,7718
Valle de San José,6336
Vélez,25219
Vetas,2168
Villanueva,7982
Zapatoca,9566
Buenavista,10964
Caimito,16028
Chalán,4604
Colosó,8732
Corozal,70853
Coveñas,19516
El Roble,10439
Galeras,23238
Guaranda,18601
La Unión,12994
Los Palmitos,23884
Majagual,38306
Morroa,15858
Ovejas,23436
Palmito,15056
Sampués,48819
San Benito Abad,29774
San José de Toluviejo (Tolú Viejo),22289
San Juan de Betulia (Betulia),14191
San Luis de Sincé (Sincé),31903
San Marcos,60566
San Onofre,51109
San Pedro,1921
Santiago de Tolú (Tolú),34117
Sincelejo,293951
Sucre,30814
Alpujarra,4458
Alvarado,8715
Ambalema,6561
Anzoátegui,10006
Armero,12038
Ataco,19117
Cajamarca,18442
Carmen de Apicalá,10448
Casabianca,6297
Chaparral,50741
Coello,832
Coyaima,2249
Cunday,8372
Dolores,8185
Espinal,71015
Falan,7386
Flandes,28615
Fresno,31191
Guamo,32772
Herveo,7213
Honda,24542
Ibagué,541101
Icononzo,11893
Lérida,18617
Líbano,36231
Melgar,37682
Murillo,4143
Natagaima,14672
Ortega,3432
Palocabildo,9814
Piedras,6761
Planadas,25799
Prado,8415
Purificación,23538
Rioblanco,22617
Roncesvalles,5479
Rovira,21491
Saldaña,14473
San Antonio,1257
San Luis,13451
San Sebastián de Mariquita (Mariquita),38333
Santa Isabel,5673
Suárez,3772
Valle de San Juan,536
Venadillo,12723
Villahermosa,9186
Villarrica,496
Alcalá,14295
Andalucía,22594
Ansermanuevo,17316
Argelia,5177
Bolívar,15714
Buenaventura,311827
Bugalagrande,24465
Caicedonia,28521
Cali (Santiago de Cali),2252616
Calima,18266
Candelaria,94211
Cartago,137302
Dagua,49015
El Águila,8562
El Cairo,6506
El Cerrito,57133
El Dovio,8616
Florida,57961
Ginebra,23046
Guacarí,33578
Guadalajara de Buga (Buga),128945
Jamundí,167147
La Cumbre,16509
La Unión,34493
La Victoria,11867
Obando,12042
Palmira,354285
Pradera,48165
Restrepo,15304
Riofrío,15463
Roldanillo,36786
San Pedro,17201
Sevilla,41153
Toro,14389
Trujillo,18982
Tuluá,218812
Ulloa,5381
Versalles,695
Vijes,12884
Yotoco,16197
Yumbo,110069
Zarzal,42407
Carurú,3201
Mitú,32793
Pacoa,4422
Papunahua,776
Taraira,2423
Yavaraté,1097
Cumaribo,78863
La Primavera,9608
Puerto Carreño,20294
Santa Rosalía,4193
